"","Üniversite.Adı","Engel.Türü","Üniversite.Türü","İl.Adı","Erkek","Kadın","yil"
"529","BOZOK ÜNİVERSİTESİ","DİĞER","DEVLET","YOZGAT",1,1,"2014"
"530","BOZOK ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","YOZGAT",1,0,"2014"
"531","BURSA ORHANGAZİ ÜNİVERSİTESİ","DİĞER","VAKIF","BURSA",1,1,"2014"
"532","BÜLENT ECEVİT ÜNİVERSİTESİ","DİĞER","DEVLET","ZONGULDAK",1,1,"2014"
"533","BÜLENT ECEVİT ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ZONGULDAK",11,6,"2014"
"534","BÜLENT ECEVİT ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ZONGULDAK",4,0,"2014"
"535","BÜLENT ECEVİT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ZONGULDAK",1,3,"2014"
"536","BÜLENT ECEVİT ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ZONGULDAK",1,0,"2014"
"537","BÜLENT ECEVİT ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","ZONGULDAK",1,0,"2014"
"538","CUMHURİYET ÜNİVERSİTESİ","DİĞER","DEVLET","SİVAS",13,7,"2014"
"539","CUMHURİYET ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","SİVAS",54,29,"2014"
"540","CUMHURİYET ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","SİVAS",14,19,"2014"
"541","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","DİĞER","DEVLET","ÇANAKKALE",4,0,"2014"
"542","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ÇANAKKALE",7,6,"2014"
"543","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ÇANAKKALE",8,3,"2014"
"544","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ÇANAKKALE",3,2,"2014"
"545","ÇANKAYA ÜNİVERSİTESİ","DİĞER","VAKIF","ANKARA",1,0,"2014"
"546","ÇANKAYA ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","ANKARA",4,2,"2014"
"547","ÇANKAYA ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","ANKARA",4,1,"2014"
"548","ÇANKAYA ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","ANKARA",3,2,"2014"
"549","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","DİĞER","DEVLET","ÇANKIRI",2,1,"2014"
"550","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ÇANKIRI",1,0,"2014"
"551","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ÇANKIRI",2,2,"2014"
"552","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ÇANKIRI",2,0,"2014"
"553","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ÇANKIRI",2,0,"2014"
"554","DİCLE ÜNİVERSİTESİ","DİĞER","DEVLET","DİYARBAKIR",2,1,"2014"
"555","DİCLE ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","DİYARBAKIR",1,1,"2014"
"556","DİCLE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","DİYARBAKIR",11,3,"2014"
"557","DİCLE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","DİYARBAKIR",5,2,"2014"
"558","DİCLE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","DİYARBAKIR",8,3,"2014"
"559","DİCLE ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","DİYARBAKIR",4,0,"2014"
"560","DOĞUŞ ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","VAKIF","İSTANBUL",1,0,"2014"
"561","DOĞUŞ ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",3,2,"2014"
"562","DOĞUŞ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",3,5,"2014"
"563","DOĞUŞ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,1,"2014"
"564","DOĞUŞ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",1,2,"2014"
"565","DOĞUŞ ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",12,11,"2014"
"566","DOKUZ EYLÜL ÜNİVERSİTESİ","DİĞER","DEVLET","İZMİR",46,24,"2014"
"567","DOKUZ EYLÜL ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","İZMİR",37,14,"2014"
"568","DOKUZ EYLÜL ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İZMİR",181,118,"2014"
"569","DOKUZ EYLÜL ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İZMİR",692,501,"2014"
"570","DOKUZ EYLÜL ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","İZMİR",77,46,"2014"
"571","DOKUZ EYLÜL ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","İZMİR",252,276,"2014"
"572","DOKUZ EYLÜL ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","İZMİR",10,11,"2014"
"573","DUMLUPINAR ÜNİVERSİTESİ","DİĞER","DEVLET","KÜTAHYA",3,2,"2014"
"574","DUMLUPINAR ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","KÜTAHYA",5,1,"2014"
"575","DUMLUPINAR ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","KÜTAHYA",4,1,"2014"
"576","DUMLUPINAR ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","KÜTAHYA",2,2,"2014"
"577","DUMLUPINAR ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","KÜTAHYA",3,0,"2014"
"578","DUMLUPINAR ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","KÜTAHYA",1,0,"2014"
"579","DÜZCE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","DÜZCE",8,1,"2014"
"580","DÜZCE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","DÜZCE",1,0,"2014"
"581","DÜZCE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","DÜZCE",2,1,"2014"
"582","DÜZCE ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","DÜZCE",3,0,"2014"
"583","EGE ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","DEVLET","İZMİR",6,16,"2014"
"584","EGE ÜNİVERSİTESİ","DİĞER","DEVLET","İZMİR",1,0,"2014"
"585","EGE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İZMİR",6,3,"2014"
"586","EGE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İZMİR",6,3,"2014"
"587","EGE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","İZMİR",0,1,"2014"
"588","EGE ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","İZMİR",1,0,"2014"
"589","EGE ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","İZMİR",0,1,"2014"
"590","EGE ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","İZMİR",1,0,"2014"
"591","ERCİYES ÜNİVERSİTESİ","DİĞER","DEVLET","KAYSERİ",24,13,"2014"
"592","ERCİYES ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","KAYSERİ",1,1,"2014"
"593","ERCİYES ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","KAYSERİ",3,5,"2014"
"594","ERCİYES ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","KAYSERİ",11,3,"2014"
"595","ERCİYES ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","KAYSERİ",3,4,"2014"
"596","ERCİYES ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","KAYSERİ",6,1,"2014"
"597","ERZİNCAN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ERZİNCAN",1,0,"2014"
"598","ERZİNCAN ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ERZİNCAN",16,10,"2014"
"599","ERZURUM TEKNİK ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ERZURUM",1,1,"2014"
"600","ERZURUM TEKNİK ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ERZURUM",1,0,"2014"
"601","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","DİĞER","DEVLET","ESKİŞEHİR",4,1,"2014"
"602","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ESKİŞEHİR",4,4,"2014"
"603","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ESKİŞEHİR",5,2,"2014"
"604","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ESKİŞEHİR",1,0,"2014"
"605","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ESKİŞEHİR",1,0,"2014"
"606","FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",0,1,"2014"
"607","FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",0,1,"2014"
"608","FATİH ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",3,0,"2014"
"609","FIRAT ÜNİVERSİTESİ","DİĞER","DEVLET","ELAZIĞ",5,1,"2014"
"610","FIRAT ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ELAZIĞ",2,1,"2014"
"611","FIRAT ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ELAZIĞ",4,0,"2014"
"612","FIRAT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ELAZIĞ",2,0,"2014"
"613","FIRAT ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ELAZIĞ",2,2,"2014"
"614","FIRAT ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","ELAZIĞ",0,1,"2014"
"615","FIRAT ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","ELAZIĞ",2,0,"2014"
"616","FIRAT ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","ELAZIĞ",1,0,"2014"
"617","GALATASARAY ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İSTANBUL",1,1,"2014"
"618","GAZİ ÜNİVERSİTESİ","DİĞER","DEVLET","ANKARA",2,6,"2014"
"619","GAZİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ANKARA",19,12,"2014"
"620","GAZİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ANKARA",14,22,"2014"
"621","GAZİ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ANKARA",6,10,"2014"
"622","GAZİOSMANPAŞA ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","TOKAT",5,3,"2014"
"623","GAZİOSMANPAŞA ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","TOKAT",10,2,"2014"
"624","GAZİOSMANPAŞA ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","TOKAT",1,0,"2014"
"625","GAZİOSMANPAŞA ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","TOKAT",2,0,"2014"
"626","GEBZE TEKNİK ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","KOCAELİ",1,0,"2014"
"627","GEBZE YÜKSEK TEKNOLOJİ ENSTİTÜSÜ","FİZİKSEL
  ENGELLİLER","DEVLET","KOCAELİ",1,0,"2014"
"628","GEDİK ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",0,2,"2014"
"629","GEDİK ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",2,0,"2014"
"630","GEDİK ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",1,0,"2014"
"631","GİRESUN ÜNİVERSİTESİ","DİĞER","DEVLET","GİRESUN",5,0,"2014"
"632","GİRESUN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","GİRESUN",1,1,"2014"
"633","GİRESUN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","GİRESUN",1,2,"2014"
"634","GİRESUN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","GİRESUN",4,5,"2014"
"635","GİRESUN ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","GİRESUN",1,0,"2014"
"636","GÜMÜŞHANE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","GÜMÜŞHANE",10,6,"2014"
"637","GÜMÜŞHANE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","GÜMÜŞHANE",3,1,"2014"
"638","GÜMÜŞHANE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","GÜMÜŞHANE",3,1,"2014"
"639","HACETTEPE ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","DEVLET","ANKARA",12,7,"2014"
"640","HACETTEPE ÜNİVERSİTESİ","DİĞER","DEVLET","ANKARA",66,60,"2014"
"641","HACETTEPE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ANKARA",6,5,"2014"
"642","HACETTEPE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ANKARA",31,41,"2014"
"643","HACETTEPE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ANKARA",29,15,"2014"
"644","HACETTEPE ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ANKARA",10,28,"2014"
"645","HACETTEPE ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","ANKARA",2,0,"2014"
"646","HACETTEPE ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","ANKARA",19,13,"2014"
"647","HAKKARİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","HAKKARİ",1,0,"2014"
"648","HARRAN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ŞANLIURFA",1,0,"2014"
"649","HARRAN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ŞANLIURFA",1,0,"2014"
"650","HASAN KALYONCU ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","GAZİANTEP",8,4,"2014"
"651","HİTİT ÜNİVERSİTESİ","DİĞER","DEVLET","ÇORUM",7,2,"2014"
"652","HİTİT ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ÇORUM",6,2,"2014"
"653","HİTİT ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ÇORUM",3,0,"2014"
"654","HİTİT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ÇORUM",1,1,"2014"
"655","HİTİT ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ÇORUM",0,1,"2014"
"656","IĞDIR ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","IĞDIR",3,1,"2014"
"657","IĞDIR ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","IĞDIR",1,0,"2014"
"658","IŞIK ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",2,0,"2014"
"659","IŞIK ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,0,"2014"
"660","IŞIK ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",2,2,"2014"
"661","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","DİĞER","VAKIF","ANKARA",24,21,"2014"
"662","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","VAKIF","ANKARA",16,7,"2014"
"663","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","VAKIF","ANKARA",4,2,"2014"
"664","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","GEÇİCİ
  YETERSİZLİKLERİ OLANLAR","VAKIF","ANKARA",1,0,"2014"
"665","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","ANKARA",7,3,"2014"
"666","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","ANKARA",4,3,"2014"
"667","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","ANKARA",11,6,"2014"
"668","İNÖNÜ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","MALATYA",6,1,"2014"
"669","İNÖNÜ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","MALATYA",4,2,"2014"
"670","İNÖNÜ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","MALATYA",1,1,"2014"
"671","İNÖNÜ ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","MALATYA",1,0,"2014"
"672","İSTANBUL AYDIN ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",14,9,"2014"
"673","İSTANBUL AYDIN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",21,8,"2014"
"674","İSTANBUL AYDIN ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",43,32,"2014"
"675","İSTANBUL AYDIN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",12,12,"2014"
"676","İSTANBUL AYDIN ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",9,7,"2014"
"677","İSTANBUL BİLGİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",8,6,"2014"
"678","İSTANBUL BİLGİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",7,2,"2014"
"679","İSTANBUL ESENYURT ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","VAKIF","İSTANBUL",3,0,"2014"
"680","İSTANBUL GELİŞİM ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","VAKIF","İSTANBUL",1,2,"2014"
"681","İSTANBUL GELİŞİM ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",161,178,"2014"
"682","İSTANBUL GELİŞİM ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","VAKIF","İSTANBUL",8,0,"2014"
"683","İSTANBUL GELİŞİM ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","VAKIF","İSTANBUL",13,4,"2014"
"684","İSTANBUL GELİŞİM ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",4,0,"2014"
"685","İSTANBUL GELİŞİM ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",2,9,"2014"
"686","İSTANBUL GELİŞİM ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",3,1,"2014"
"687","İSTANBUL GELİŞİM ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",8,32,"2014"
"688","İSTANBUL GELİŞİM ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","VAKIF","İSTANBUL",2,0,"2014"
"689","İSTANBUL GELİŞİM ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","VAKIF","İSTANBUL",14,2,"2014"
"690","İSTANBUL GELİŞİM ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","VAKIF","İSTANBUL",2,1,"2014"
"691","İSTANBUL KEMERBURGAZ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,0,"2014"
"692","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","VAKIF","İSTANBUL",1,0,"2014"
"693","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",6,4,"2014"
"694","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,1,"2014"
"695","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",1,1,"2014"
"696","İSTANBUL MEDENİYET ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İSTANBUL",0,1,"2014"
"697","İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,0,"2014"
"698","İSTANBUL ŞEHİR ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",0,1,"2014"
"699","İSTANBUL ŞEHİR ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","VAKIF","İSTANBUL",1,1,"2014"
"700","İSTANBUL ŞEHİR ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","VAKIF","İSTANBUL",2,1,"2014"
"701","İSTANBUL ŞEHİR ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",3,0,"2014"
"702","İSTANBUL ŞEHİR ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",2,1,"2014"
"703","İSTANBUL ŞEHİR ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","VAKIF","İSTANBUL",0,1,"2014"
"704","İSTANBUL ŞEHİR ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","VAKIF","İSTANBUL",1,0,"2014"
"705","İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU","İŞİTME
  ENGELLİLER","VAKIF MYO","İSTANBUL",0,1,"2014"
"706","İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU","PSİKOLOJİK
  PROBLEMLİLER","VAKIF MYO","İSTANBUL",0,1,"2014"
"707","İSTANBUL TİCARET ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",3,1,"2014"
"708","İSTANBUL TİCARET ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,0,"2014"
"709","İSTANBUL ÜNİVERSİTESİ","DİĞER","DEVLET","İSTANBUL",19,8,"2014"
"710","İSTANBUL ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İSTANBUL",52,38,"2014"
"711","İSTANBUL ÜNİVERSİTESİ","GEÇİCİ
  YETERSİZLİKLERİ OLANLAR","DEVLET","İSTANBUL",3,4,"2014"
"712","İSTANBUL ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İSTANBUL",44,27,"2014"
"713","İSTANBUL ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","İSTANBUL",9,4,"2014"
"714","İZMİR EKONOMİ ÜNİVERSİTESİ","DİĞER","VAKIF","İZMİR",6,3,"2014"
"715","İZMİR EKONOMİ ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","VAKIF","İZMİR",1,3,"2014"
"716","İZMİR EKONOMİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İZMİR",2,1,"2014"
"717","İZMİR EKONOMİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İZMİR",3,3,"2014"
"718","İZMİR EKONOMİ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İZMİR",0,1,"2014"
"719","İZMİR EKONOMİ ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","VAKIF","İZMİR",3,0,"2014"
"720","İZMİR EKONOMİ ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","VAKIF","İZMİR",4,2,"2014"
"721","İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İZMİR",2,0,"2014"
"722","İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İZMİR",3,1,"2014"
"723","İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","İZMİR",1,0,"2014"
"724","İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","İZMİR",0,1,"2014"
"725","İZMİR ÜNİVERSİTESİ","DİĞER","VAKIF","İZMİR",1,1,"2014"
"726","İZMİR ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İZMİR",2,1,"2014"
"727","KADİR HAS ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","VAKIF","İSTANBUL",1,0,"2014"
"728","KADİR HAS ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",0,1,"2014"
"729","KADİR HAS ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",3,0,"2014"
"730","KADİR HAS ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",0,1,"2014"
"731","KADİR HAS ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","VAKIF","İSTANBUL",1,1,"2014"
"732","KAFKAS ÜNİVERSİTESİ","DİĞER","DEVLET","KARS",2,0,"2014"
"733","KAFKAS ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","KARS",1,0,"2014"
"734","KAFKAS ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","KARS",0,1,"2014"
